time_stamp,cpu_avg,cpu_max,mem_avg,mem_max,plan_cpu,plan_mem,cpu_util_percent,mem_util_percent,disk_io_percent,dist_label
18110,32.0,152.0,0.05,0.08,50.0,0.59,32.0,86.0,62.0,0
18120,32.0,152.0,0.05,0.08,50.0,0.59,35.0,86.0,55.0,0
18130,32.0,152.0,0.05,0.08,50.0,0.59,35.0,86.0,55.0,0
18140,32.0,152.0,0.05,0.08,50.0,0.59,34.0,86.0,55.0,0
18150,32.0,152.0,0.05,0.08,50.0,0.59,33.0,86.0,55.0,0
18180,107.0,199.0,0.3,0.48,100.0,0.3,31.0,86.0,54.0,0
18190,107.0,199.0,0.3,0.48,100.0,0.3,33.0,86.0,54.0,0
18200,107.0,199.0,0.3,0.48,100.0,0.3,32.0,86.0,54.0,0
18210,107.0,199.0,0.3,0.48,100.0,0.3,32.0,86.0,54.0,0
18220,107.0,199.0,0.3,0.48,100.0,0.3,31.0,86.0,54.0,0
18230,107.0,199.0,0.3,0.48,100.0,0.3,36.0,85.0,54.0,0
18240,107.0,199.0,0.3,0.48,100.0,0.3,31.0,86.0,62.0,0
18250,107.0,199.0,0.3,0.48,100.0,0.3,32.0,86.0,62.0,0
18260,107.0,199.0,0.3,0.48,100.0,0.3,31.0,86.0,62.0,0
18270,107.0,199.0,0.3,0.48,100.0,0.3,28.0,85.0,62.0,0
18280,107.0,199.0,0.3,0.48,100.0,0.3,30.0,86.0,62.0,0
18290,107.0,199.0,0.3,0.48,100.0,0.3,29.0,86.0,62.0,0
18300,107.0,199.0,0.3,0.48,100.0,0.3,31.0,85.0,59.0,0
18310,107.0,199.0,0.3,0.48,100.0,0.3,29.0,85.0,59.0,0
18320,107.0,199.0,0.3,0.48,100.0,0.3,27.0,85.0,59.0,0
18330,107.0,199.0,0.3,0.48,100.0,0.3,30.0,85.0,59.0,0
18340,107.0,199.0,0.3,0.48,100.0,0.3,27.0,85.0,59.0,0
18350,107.0,199.0,0.3,0.48,100.0,0.3,24.0,85.0,59.0,0
18360,107.0,199.0,0.3,0.48,100.0,0.3,26.0,86.0,52.0,0
18370,107.0,199.0,0.3,0.48,100.0,0.3,29.0,85.0,52.0,0
18380,107.0,199.0,0.3,0.48,100.0,0.3,29.0,85.0,52.0,0
18390,107.0,199.0,0.3,0.48,100.0,0.3,34.0,86.0,52.0,0
18400,107.0,199.0,0.3,0.48,100.0,0.3,30.0,86.0,52.0,0
18410,107.0,199.0,0.3,0.48,100.0,0.3,30.0,86.0,52.0,0
18420,107.0,199.0,0.3,0.48,100.0,0.3,31.0,84.0,55.0,0
